__sinit_\d_enemy_toride_kokoopa_cpp	0x800AED40	5784	5784B_200diffs
executeState_ShellAtk_St__18dEnTorideKokoopa_cFv	0x800AD720	612	612B_2diffs
executeState_AttackSearch__18dEnTorideKokoopa_cFv	0x800AC560	512	512B_2diffs
shellAtkEffect__18dEnTorideKokoopa_cFv	0x800AABF0	376	0-B-UNWRITTEN
initializeState_Jump__18dEnTorideKokoopa_cFv	0x800AB9F0	360	360B_7diffs
initializeState_BigJump__18dEnTorideKokoopa_cFv	0x800ABDB0	360	360B_7diffs
setQuakeDead__18dEnTorideKokoopa_cFv	0x800A9A90	340	352B_84diffs
shellWallEffect__18dEnTorideKokoopa_cFv	0x800AAF80	316	0-B-UNWRITTEN
setFireDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9440	272	0-B-UNWRITTEN
preExecute__18dEnTorideKokoopa_cFv	0x800A8C60	268	252B_48diffs
setShellDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9BF0	264	0-B-UNWRITTEN
executeState_AttackEnd__18dEnTorideKokoopa_cFv	0x800ACB00	252	0-B-UNWRITTEN
setFumiDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9190	236	0-B-UNWRITTEN
setStarDamage__18dEnTorideKokoopa_cFP8dActor_c	0x800A9720	236	0-B-UNWRITTEN
executeState_LandOn__18dEnTorideKokoopa_cFv	0x800AC0B0	236	0-B-UNWRITTEN
initializeState_AttackSearch__18dEnTorideKokoopa_cFv	0x800AC470	224	0-B-UNWRITTEN
executeState_DemoIkaku__18dEnTorideKokoopa_cFv	0x800AE9A0	224	0-B-UNWRITTEN
initializeState_DemoAwake__18dEnTorideKokoopa_cFv	0x800AE580	216	0-B-UNWRITTEN
initializeState_DemoIkaku__18dEnTorideKokoopa_cFv	0x800AE8B0	216	0-B-UNWRITTEN
initializeState_DemoWait__18dEnTorideKokoopa_cFv	0x800AE420	212	0-B-UNWRITTEN
moveRevise__18dEnTorideKokoopa_cFv	0x800AA150	208	0-B-UNWRITTEN
